experiment_name,assignment_strategy,n_robots,max_number_of_targets,learning_rate,discount_factor,seed,mean_path_length,mean_distance_to_a_target,time_taken,steps_taken
main_experiment,random,9,10,0.9,0.99,3,29.166666666666668,33.4,11.240005493164062,80
main_experiment,random,10,1,0.9,0.99,1,14.533333333333335,23.5,5.882912635803223,271
main_experiment,random,10,1,0.9,0.99,2,10.025,17.2,5.494541883468628,234
main_experiment,random,10,1,0.9,0.99,3,10.583333333333332,17.5,5.336952447891235,213
main_experiment,random,10,2,0.9,0.99,1,13.333333333333332,18.2,6.932702302932739,188
main_experiment,random,10,2,0.9,0.99,2,9.2,14.3,5.991772413253784,183
main_experiment,random,10,2,0.9,0.99,3,17.3,21.0,6.125430583953857,166
main_experiment,random,10,3,0.9,0.99,1,17.2,23.2,6.638256549835205,141
main_experiment,random,10,3,0.9,0.99,2,15.15,18.9,7.514905691146851,90
main_experiment,random,10,3,0.9,0.99,3,15.083333333333332,19.0,7.1760053634643555,136
main_experiment,random,10,4,0.9,0.99,1,20.8,24.3,7.7406134605407715,122
main_experiment,random,10,4,0.9,0.99,2,10.233333333333333,21.0,7.667118549346924,126
main_experiment,random,10,4,0.9,0.99,3,16.25,21.1,7.752794027328491,107
main_experiment,random,10,5,0.9,0.99,1,19.7,26.7,7.589374542236328,116
main_experiment,random,10,5,0.9,0.99,2,17.7,19.6,7.384628772735596,79
main_experiment,random,10,5,0.9,0.99,3,14.616666666666669,24.2,7.664910793304443,104
main_experiment,random,10,6,0.9,0.99,1,30.0,37.4,8.120860576629639,118
main_experiment,random,10,6,0.9,0.99,2,8.5,14.3,8.520510196685791,70
main_experiment,random,10,6,0.9,0.99,3,16.85,21.9,9.611067056655884,106
main_experiment,random,10,7,0.9,0.99,1,6.5,11.3,8.751747131347656,70
main_experiment,random,10,7,0.9,0.99,2,14.95,19.7,8.884973526000977,81
main_experiment,random,10,7,0.9,0.99,3,19.4,26.9,9.607605934143066,91
main_experiment,random,10,8,0.9,0.99,1,21.85,28.8,9.91589093208313,94
main_experiment,random,10,8,0.9,0.99,2,16.866666666666667,25.7,9.343159198760986,80
main_experiment,random,10,8,0.9,0.99,3,22.4,35.6,9.288718223571777,122
main_experiment,random,10,9,0.9,0.99,1,22.225,27.1,10.09898042678833,80
main_experiment,random,10,9,0.9,0.99,2,23.183333333333334,31.1,10.654423713684082,82
main_experiment,random,10,9,0.9,0.99,3,24.45,30.7,10.358441591262817,80
main_experiment,random,10,10,0.9,0.99,1,21.5,33.4,10.415205240249634,93
main_experiment,random,10,10,0.9,0.99,2,27.9,33.9,10.079978942871094,73
main_experiment,random,10,10,0.9,0.99,3,24.53333333333333,34.3,10.438496589660645,87
main_experiment,greedy,1,1,0.9,0.99,1,22.8,22.8,5.975743770599365,273
main_experiment,greedy,1,1,0.9,0.99,2,18.3,18.3,6.246129989624023,233
main_experiment,greedy,1,1,0.9,0.99,3,15.8,15.8,5.9408416748046875,200
